k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd.F_des.1,Bus_Cmd.q_des.1,Bus_Cmd.q_des.2,Bus_Cmd.q_des.3,Bus_Cmd.q_des.4,Bus_Cmd.q_ref.1,Bus_Cmd.q_ref.2,Bus_Cmd.q_ref.3,Bus_Cmd.q_ref.4,Bus_Cmd.Omega_ref.1,Bus_Cmd.Omega_ref.2,Bus_Cmd.Omega_ref.3,Bus_Cmd.tau_ref.1,Bus_Cmd.tau_ref.2,Bus_Cmd.tau_ref.3,Bus_Cmd.q_ext.1,Bus_Cmd.q_ext.2,Bus_Cmd.q_ext.3,Bus_Cmd.q_ext.4,Bus_Cmd.estop.1,Bus_Cmd.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4
12,0.012,0.14184873620613045,-0.14834960105325704,0.14203275021442119,-0.096387389643137283,-0.25220796577283799,-1.3907489677827409,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1077.7108796086497,1169.1524889283439,1078.6731405533819,1156.7348211947619,0,22.306266076257813,24.681771338196707,22.330383232479338,24.34935508214928
13,0.013000000000000001,0.15102492400967785,-0.14911809245287663,0.15444191012634129,-0.048797541621052931,0.07062978497784933,-1.3760656178547079,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1091.0060086078709,1156.6866655435929,1090.4449933703252,1145.714203664563,0,22.64115775100008,24.348071919745195,22.626953407838528,24.056899808631925
14,0.014,0.15761277268962151,-0.1614539984883277,0.15776652114399678,-0.06278658456392347,-0.18170245666380591,-1.72000380421063,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1093.9137651998037,1152.0941314994752,1094.3806116497415,1143.8148173659761,0,22.71488194676467,24.22591020545315,22.726734557148202,24.006739899476194
15,0.014999999999999999,0.16991527666547629,-0.16545034578892767,0.16642144975615028,0.2317027978098567,-0.11073742105412858,-1.7765379321565611,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1104.4514169182039,1140.7349741148453,1104.0747314295154,1135.7285093839034,0,22.983497206633142,23.925558915704585,22.973856275541994,23.793998957076425
16,0.016,0.17327051603928662,-0.17331379454901133,0.17232292027230434,0.17124358058124156,-0.26117190861692052,-1.9122100647488234,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1111.1728112894602,1132.3874740649455,1112.0544959596232,1129.7246846722628,0,23.156008411613406,23.70648224540318,23.178705522398033,23.636892045976403
17,0.017000000000000001,0.1805257975095664,-0.17390525220810948,0.17240661591362738,0.32886193634506089,-0.12742651198604149,-2.2684313328768639,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1113.0537491585233,1129.7872835775479,1113.3572006453016,1129.1931908366446,0,23.204448176712859,23.638526393582691,23.212269654402018,23.62301884240312
18,0.018000000000000002,0.18199889561740012,-0.17978420117137645,0.18358690273391509,0.26427813066047889,-0.26929865351332505,-2.0885623277414993,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1124.8731724481204,1116.4676487969859,1126.4175639703171,1117.7178891765905,0,23.510466917255357,23.292548809519666,23.550660780969217,23.324871908054078
19,0.019,0.18144033367997009,-0.17690655994806037,0.1766103573856263,0.14119102031765657,-0.050305321824567178,-2.69202474679643,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1119.6153941909042,1121.6909762998689,1121.0737002084888,1123.1268648683483,0,23.373989275267455,23.427799279150669,23.411787172878046,23.465075816037668
20,0.02,0.17858680871892429,-0.178685375044941,0.18438951000263626,-0.057055173028769626,-0.068726870963856601,-2.6028315541117757,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1128.1984200873205,1112.4009049264062,1130.5347397008466,1114.2590484581631,0,23.597068289674276,23.187627388691123,23.658047235747262,23.23552580436408
21,0.021000000000000001,0.18134424056363152,-0.18963839801851989,0.18006822807554512,0.020469985203836819,-0.52311570998780155,-3.0323440404653366,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1124.5857821954423,1113.9054769562115,1128.6345579030872,1118.3268371579431,0,23.502992677063254,23.226406220201127,23.608443357488284,23.340626763286188
